"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-01-01",67,24090,30540,6450,4350,12180,7560,"2022-01-01T03:25:50.000+01:00","2022-01-01T11:54:50.000+01:00"
"2022-01-02",69,25860,33180,7320,4620,13080,8160,"2022-01-02T02:44:11.000+01:00","2022-01-02T11:57:11.000+01:00"
"2022-01-03",64,23250,29040,5790,3030,13890,6330,"2022-01-03T02:54:16.000+01:00","2022-01-03T10:58:16.000+01:00"
"2022-01-04",61,20640,27000,6360,3480,10350,6810,"2022-01-04T02:35:32.000+01:00","2022-01-04T10:05:32.000+01:00"
"2022-01-05",67,24660,31740,7080,3750,14490,6420,"2022-01-05T01:32:58.000+01:00","2022-01-05T10:21:58.000+01:00"
"2022-01-06",74,28860,35160,6300,4650,16440,7770,"2022-01-06T01:35:55.000+01:00","2022-01-06T11:21:55.000+01:00"
"2022-01-07",68,24750,31680,6930,4260,14400,6090,"2022-01-07T01:44:36.000+01:00","2022-01-07T10:32:36.000+01:00"
"2022-01-08",69,24990,32940,7950,5340,12450,7200,"2022-01-08T01:59:27.000+01:00","2022-01-08T11:08:27.000+01:00"
"2022-01-09",72,30000,37140,7140,3720,20430,5850,"2022-01-09T02:23:38.000+01:00","2022-01-09T12:42:38.000+01:00"
"2022-01-10",68,24120,28740,4620,3540,13020,7560,"2022-01-10T02:02:59.000+01:00","2022-01-10T10:01:59.000+01:00"
"2022-01-11",67,24390,30360,5970,3480,14580,6330,"2022-01-11T01:18:37.000+01:00","2022-01-11T09:44:37.000+01:00"
"2022-01-12",67,24180,30060,5880,3570,13380,7230,"2022-01-12T01:35:24.000+01:00","2022-01-12T09:56:24.000+01:00"
"2022-01-13",64,21990,28860,6870,4290,11370,6330,"2022-01-13T01:59:13.000+01:00","2022-01-13T10:00:13.000+01:00"
"2022-01-14",70,24870,30420,5550,6150,11730,6990,"2022-01-14T01:31:27.000+01:00","2022-01-14T09:58:27.000+01:00"
"2022-01-15",76,24750,26760,2010,6870,8070,9810,"2022-01-15T04:58:04.000+01:00","2022-01-15T12:24:04.000+01:00"
"2022-01-16",73,29160,37740,8580,4590,18150,6420,"2022-01-16T01:03:46.000+01:00","2022-01-16T11:32:46.000+01:00"
"2022-01-17",54,19440,30660,11220,2490,12390,4560,"2022-01-17T01:08:20.000+01:00","2022-01-17T09:39:20.000+01:00"
"2022-01-18",70,26700,35880,9180,4740,16620,5340,"2022-01-17T23:41:39.000+01:00","2022-01-18T09:39:39.000+01:00"
"2022-01-19",73,28140,34740,6600,3720,19500,4920,"2022-01-19T00:07:59.000+01:00","2022-01-19T09:46:59.000+01:00"
"2022-01-20",63,25080,35820,10740,2460,15300,7320,"2022-01-20T00:32:18.000+01:00","2022-01-20T10:29:18.000+01:00"
"2022-01-21",70,25530,32100,6570,3840,10890,10800,"2022-01-21T01:09:43.000+01:00","2022-01-21T10:04:43.000+01:00"
"2022-01-22",70,27960,35040,7080,3540,17040,7380,"2022-01-22T01:13:27.000+01:00","2022-01-22T10:57:27.000+01:00"
"2022-01-23",72,28260,36780,8520,4650,18120,5490,"2022-01-23T01:53:13.000+01:00","2022-01-23T12:06:13.000+01:00"
"2022-01-24",68,24240,30300,6060,4290,10440,9510,"2022-01-24T01:43:35.000+01:00","2022-01-24T10:08:35.000+01:00"
"2022-01-25",68,25590,32820,7230,2670,15480,7440,"2022-01-25T01:07:57.000+01:00","2022-01-25T10:14:57.000+01:00"
"2022-01-26",74,27090,32280,5190,4800,16050,6240,"2022-01-26T01:12:01.000+01:00","2022-01-26T10:10:01.000+01:00"
"2022-01-27",60,27450,37080,9630,3900,18720,4830,"2022-01-27T01:28:30.000+01:00","2022-01-27T11:46:30.000+01:00"
"2022-01-28",79,30300,37980,7680,6540,15360,8400,"2022-01-28T01:43:27.000+01:00","2022-01-28T12:16:27.000+01:00"
"2022-01-29",48,10230,11220,990,1470,6300,2460,"2022-01-29T08:45:08.000+01:00","2022-01-29T11:52:08.000+01:00"
"2022-01-30",69,27570,35520,7950,5610,17280,4680,"2022-01-30T02:03:04.000+01:00","2022-01-30T11:55:04.000+01:00"
"2022-01-31",68,25470,29220,3750,3390,15480,6600,"2022-01-31T02:05:51.000+01:00","2022-01-31T10:12:51.000+01:00"
"2022-02-01",69,26070,31920,5850,2940,15030,8100,"2022-02-01T01:12:54.000+01:00","2022-02-01T10:04:54.000+01:00"
"2022-02-02",69,26250,34560,8310,4530,16320,5400,"2022-02-02T00:51:28.000+01:00","2022-02-02T10:27:28.000+01:00"
"2022-02-03",50,14700,19980,5280,840,8940,4920,"2022-02-03T02:56:31.000+01:00","2022-02-03T08:29:31.000+01:00"
"2022-02-04",66,24360,32220,7860,2040,13920,8400,"2022-02-04T01:02:09.000+01:00","2022-02-04T09:59:09.000+01:00"
"2022-02-05",59,17910,20460,2550,3060,9390,5460,"2022-02-05T07:46:49.000+01:00","2022-02-05T13:27:49.000+01:00"
"2022-02-06",63,25680,33900,8220,3690,15330,6660,"2022-02-06T04:23:30.000+01:00","2022-02-06T13:48:30.000+01:00"
"2022-02-07",70,26010,31920,5910,3330,16020,6660,"2022-02-07T01:02:32.000+01:00","2022-02-07T09:54:32.000+01:00"
"2022-02-08",67,24420,29820,5400,4260,12000,8160,"2022-02-08T01:38:08.000+01:00","2022-02-08T09:55:08.000+01:00"
"2022-02-09",70,26400,34560,8160,4980,11970,9450,"2022-02-09T01:01:30.000+01:00","2022-02-09T10:37:30.000+01:00"
"2022-02-10",71,25710,34020,8310,3060,14760,7890,"2022-02-10T00:26:36.000+01:00","2022-02-10T09:53:36.000+01:00"
"2022-02-11",59,22110,30660,8550,2850,13410,5850,"2022-02-11T01:49:28.000+01:00","2022-02-11T10:20:28.000+01:00"
"2022-02-12",57,18120,21180,3060,8250,6720,3150,"2022-02-12T08:23:16.000+01:00","2022-02-12T14:16:16.000+01:00"
"2022-02-13",57,20580,25020,4440,7470,10200,2910,"2022-02-13T05:39:08.000+01:00","2022-02-13T12:36:08.000+01:00"
"2022-02-14",69,30570,37680,7110,7110,19200,4260,"2022-02-14T01:22:39.000+01:00","2022-02-14T11:50:39.000+01:00"
"2022-02-15",57,25530,31740,6210,3600,18000,3930,"2022-02-15T01:14:54.000+01:00","2022-02-15T10:03:54.000+01:00"
"2022-02-16",72,27120,32640,5520,3720,17310,6090,"2022-02-16T01:00:45.000+01:00","2022-02-16T10:04:45.000+01:00"
"2022-02-17",57,24120,32160,8040,3780,17850,2490,"2022-02-17T01:25:38.000+01:00","2022-02-17T10:21:38.000+01:00"
"2022-02-18",64,23160,29880,6720,3690,11880,7590,"2022-02-18T01:36:00.000+01:00","2022-02-18T09:54:00.000+01:00"
"2022-02-19",67,21450,24900,3450,7500,6870,7080,"2022-02-19T07:10:05.000+01:00","2022-02-19T14:05:05.000+01:00"
"2022-02-20",65,28440,38520,10080,3690,14400,10350,"2022-02-20T02:22:16.000+01:00","2022-02-20T13:04:16.000+01:00"
"2022-02-21",71,27480,36660,9180,6270,14430,6780,"2022-02-21T01:37:29.000+01:00","2022-02-21T11:48:29.000+01:00"
"2022-02-22",65,24300,30480,6180,3360,10950,9990,"2022-02-22T01:44:51.000+01:00","2022-02-22T10:12:51.000+01:00"
"2022-02-23",68,26100,32940,6840,3690,13680,8730,"2022-02-23T01:31:54.000+01:00","2022-02-23T10:40:54.000+01:00"
"2022-02-24",59,23130,32220,9090,3960,11610,7560,"2022-02-24T01:01:38.000+01:00","2022-02-24T09:58:38.000+01:00"
